Chart Count,Pressure [ Pa ]
1.46000000e+02, 1.05000574e+03
1.47000000e+02, 1.05414526e+03
1.48000000e+02, 1.05828467e+03
1.49000000e+02, 1.06242419e+03
1.50000000e+02, 1.06656372e+03
1.51000000e+02, 1.07075073e+03
1.52000000e+02, 1.07497266e+03
1.53000000e+02, 1.07919458e+03
1.54000000e+02, 1.08341638e+03
1.55000000e+02, 1.08763818e+03
1.56000000e+02, 1.09201636e+03
1.57000000e+02, 1.09645361e+03
1.58000000e+02, 1.10089087e+03
1.59000000e+02, 1.10532825e+03
1.60000000e+02, 1.10976575e+03
1.61000000e+02, 1.11444971e+03
1.62000000e+02, 1.11917163e+03
1.63000000e+02, 1.12389355e+03
1.64000000e+02, 1.12861279e+03
1.65000000e+02, 1.13334412e+03
1.66000000e+02, 1.13855640e+03
1.67000000e+02, 1.14376855e+03
1.68000000e+02, 1.14898071e+03
1.69000000e+02, 1.15418970e+03
1.70000000e+02, 1.15952698e+03
1.71000000e+02, 1.16548499e+03
1.72000000e+02, 1.17144299e+03
1.73000000e+02, 1.17739783e+03
1.74000000e+02, 1.18335474e+03
1.75000000e+02, 1.18956592e+03
1.76000000e+02, 1.19632666e+03
1.77000000e+02, 1.20308728e+03
1.78000000e+02, 1.20984387e+03
1.79000000e+02, 1.21660291e+03
1.80000000e+02, 1.22370264e+03
1.81000000e+02, 1.23119568e+03
1.82000000e+02, 1.23868884e+03
1.83000000e+02, 1.24617700e+03
1.84000000e+02, 1.25366846e+03
1.85000000e+02, 1.26460889e+03
1.86000000e+02, 1.27772375e+03
1.87000000e+02, 1.29083826e+03
1.88000000e+02, 1.30394446e+03
1.89000000e+02, 1.31705591e+03
1.90000000e+02, 1.33934790e+03
1.91000000e+02, 1.36451465e+03
1.92000000e+02, 1.38966772e+03
1.93000000e+02, 1.41482690e+03
1.94000000e+02, 1.43998547e+03
1.95000000e+02, 1.47543689e+03
1.96000000e+02, 1.51191479e+03
1.97000000e+02, 1.54836853e+03
1.98000000e+02, 1.58483215e+03
1.99000000e+02, 1.61969836e+03


