Chart Count,Pressure [ Pa ]
0.00000000e+00, -5.41823120e+02
1.00000000e+00, -5.55981323e+02
2.00000000e+00, -5.70152039e+02
3.00000000e+00, -5.84335205e+02
4.00000000e+00, -5.95891357e+02
5.00000000e+00, -6.06362915e+02
6.00000000e+00, -6.16827820e+02
7.00000000e+00, -6.27286133e+02
8.00000000e+00, -6.37737854e+02
9.00000000e+00, -6.47376526e+02
1.00000000e+01, -6.55405640e+02
1.10000000e+01, -6.63425293e+02
1.20000000e+01, -6.71435730e+02
1.30000000e+01, -6.79436890e+02
1.40000000e+01, -6.87428589e+02
1.50000000e+01, -6.93787476e+02
1.60000000e+01, -7.00076660e+02
1.70000000e+01, -7.06358032e+02
1.80000000e+01, -7.12635071e+02
1.90000000e+01, -7.18907471e+02
2.00000000e+01, -7.24509644e+02
2.10000000e+01, -7.29800659e+02
2.20000000e+01, -7.35090088e+02
2.30000000e+01, -7.40377686e+02
2.40000000e+01, -7.45663574e+02
2.50000000e+01, -7.50700989e+02
2.60000000e+01, -7.55420044e+02
2.70000000e+01, -7.60138489e+02
2.80000000e+01, -7.64856445e+02
2.90000000e+01, -7.69573914e+02
3.00000000e+01, -7.74194153e+02
3.10000000e+01, -7.78415100e+02
3.20000000e+01, -7.82636475e+02
3.30000000e+01, -7.86857361e+02
3.40000000e+01, -7.91078125e+02
3.50000000e+01, -7.95235718e+02
3.60000000e+01, -7.98988159e+02
3.70000000e+01, -8.02739014e+02
3.80000000e+01, -8.06490662e+02
3.90000000e+01, -8.10242126e+02
4.00000000e+01, -8.13964355e+02
4.10000000e+01, -8.17322388e+02
4.20000000e+01, -8.20680420e+02
4.30000000e+01, -8.24038330e+02
4.40000000e+01, -8.27396240e+02
4.50000000e+01, -8.30731384e+02
4.60000000e+01, -8.33824097e+02
4.70000000e+01, -8.36916870e+02
4.80000000e+01, -8.40009644e+02
4.90000000e+01, -8.43102417e+02
5.00000000e+01, -8.46170105e+02
5.10000000e+01, -8.48980286e+02
5.20000000e+01, -8.51790527e+02
5.30000000e+01, -8.54600647e+02
5.40000000e+01, -8.57410828e+02
5.50000000e+01, -8.60173828e+02
5.60000000e+01, -8.62493103e+02
5.70000000e+01, -8.64812439e+02
5.80000000e+01, -8.67131775e+02
5.90000000e+01, -8.69451111e+02
6.00000000e+01, -8.71760559e+02
6.10000000e+01, -8.73986023e+02
6.20000000e+01, -8.76211670e+02
6.30000000e+01, -8.78437134e+02
6.40000000e+01, -8.80662659e+02
6.50000000e+01, -8.82893616e+02
6.60000000e+01, -8.85166992e+02
6.70000000e+01, -8.87440430e+02
6.80000000e+01, -8.89713745e+02
6.90000000e+01, -8.91987183e+02
7.00000000e+01, -8.94285583e+02
7.10000000e+01, -8.96764587e+02
7.20000000e+01, -8.99243652e+02
7.30000000e+01, -9.01722717e+02
7.40000000e+01, -9.04201782e+02
7.50000000e+01, -9.06606750e+02
7.60000000e+01, -9.08518127e+02
7.70000000e+01, -9.10429443e+02
7.80000000e+01, -9.12340820e+02
7.90000000e+01, -9.14252197e+02
8.00000000e+01, -9.16078308e+02
8.10000000e+01, -9.17376892e+02
8.20000000e+01, -9.18675476e+02
8.30000000e+01, -9.19974121e+02
8.40000000e+01, -9.21272705e+02
8.50000000e+01, -9.22551147e+02
8.60000000e+01, -9.23713318e+02
8.70000000e+01, -9.24875488e+02
8.80000000e+01, -9.26037659e+02
8.90000000e+01, -9.27199890e+02
9.00000000e+01, -9.28367493e+02
9.10000000e+01, -9.29564514e+02
9.20000000e+01, -9.30761414e+02
9.30000000e+01, -9.31958496e+02
9.40000000e+01, -9.33155396e+02
9.50000000e+01, -9.34449036e+02
9.60000000e+01, -9.36230835e+02
9.70000000e+01, -9.38012573e+02
9.80000000e+01, -9.39794434e+02
9.90000000e+01, -9.41576172e+02
1.00000000e+02, -9.43275391e+02
1.01000000e+02, -9.44581482e+02
1.02000000e+02, -9.45887695e+02
1.03000000e+02, -9.47193848e+02
1.04000000e+02, -9.48500000e+02
1.05000000e+02, -9.49750183e+02
1.06000000e+02, -9.50750427e+02
1.07000000e+02, -9.51750610e+02
1.08000000e+02, -9.52750793e+02
1.09000000e+02, -9.53750854e+02
1.10000000e+02, -9.54697021e+02
1.11000000e+02, -9.55414673e+02
1.12000000e+02, -9.56132324e+02
1.13000000e+02, -9.56849976e+02
1.14000000e+02, -9.57567505e+02
1.15000000e+02, -9.58312256e+02
1.16000000e+02, -9.59165283e+02
1.17000000e+02, -9.60018311e+02
1.18000000e+02, -9.60871216e+02
1.19000000e+02, -9.61724243e+02
1.20000000e+02, -9.62588379e+02
1.21000000e+02, -9.63494873e+02
1.22000000e+02, -9.64401367e+02
1.23000000e+02, -9.65307739e+02
1.24000000e+02, -9.66214172e+02
1.25000000e+02, -9.67088135e+02
1.26000000e+02, -9.67845581e+02
1.27000000e+02, -9.68603149e+02
1.28000000e+02, -9.69360535e+02
1.29000000e+02, -9.70118042e+02
1.30000000e+02, -9.70856140e+02
1.31000000e+02, -9.71528442e+02
1.32000000e+02, -9.72200745e+02
1.33000000e+02, -9.72873047e+02
1.34000000e+02, -9.73545410e+02
1.35000000e+02, -9.74212402e+02
1.36000000e+02, -9.74862854e+02
1.37000000e+02, -9.75513184e+02
1.38000000e+02, -9.76163452e+02
1.39000000e+02, -9.76813843e+02
1.40000000e+02, -9.77462646e+02
1.41000000e+02, -9.78106750e+02
1.42000000e+02, -9.78750916e+02
1.43000000e+02, -9.79395020e+02
1.44000000e+02, -9.80039185e+02
1.45000000e+02, -9.80635254e+02
1.46000000e+02, -9.81089600e+02
