Chart Count,Pressure [ Pa ]
0.00000000e+00, -7.05688110e+02
1.00000000e+00, -6.90889160e+02
2.00000000e+00, -6.74976440e+02
3.00000000e+00, -6.51806335e+02
4.00000000e+00, -6.28731567e+02
5.00000000e+00, -6.05751160e+02
6.00000000e+00, -5.82864319e+02
7.00000000e+00, -5.58407837e+02
8.00000000e+00, -5.32317993e+02
9.00000000e+00, -5.05095459e+02
1.00000000e+01, -4.77981812e+02
1.10000000e+01, -4.51023743e+02
1.20000000e+01, -4.23972412e+02
1.30000000e+01, -3.96660858e+02
1.40000000e+01, -3.69490723e+02
1.50000000e+01, -3.42459290e+02
1.60000000e+01, -3.15565918e+02
1.70000000e+01, -2.89313599e+02
1.80000000e+01, -2.63242645e+02
1.90000000e+01, -2.37975418e+02
2.00000000e+01, -2.13007309e+02
2.10000000e+01, -1.88122223e+02
2.20000000e+01, -1.63299591e+02
2.30000000e+01, -1.39376480e+02
2.40000000e+01, -1.16220184e+02
2.50000000e+01, -9.36083374e+01
2.60000000e+01, -7.16084518e+01
2.70000000e+01, -4.96749039e+01
2.80000000e+01, -2.77842426e+01
2.90000000e+01, -6.77166176e+00
3.00000000e+01, 1.34069796e+01
3.10000000e+01, 3.35266037e+01
3.20000000e+01, 5.31490326e+01
3.30000000e+01, 7.27416000e+01
3.40000000e+01, 9.21827087e+01
3.50000000e+01, 1.10359581e+02
3.60000000e+01, 1.28515045e+02
3.70000000e+01, 1.46649109e+02
3.80000000e+01, 1.64740799e+02
3.90000000e+01, 1.81712677e+02
4.00000000e+01, 1.98481110e+02
4.10000000e+01, 2.15231827e+02
4.20000000e+01, 2.31671585e+02
4.30000000e+01, 2.47107315e+02
4.40000000e+01, 2.62526062e+02
4.50000000e+01, 2.77930389e+02
4.60000000e+01, 2.93356140e+02
4.70000000e+01, 3.07799377e+02
4.80000000e+01, 3.21860107e+02
4.90000000e+01, 3.35909332e+02
5.00000000e+01, 3.49947113e+02
5.10000000e+01, 3.63589661e+02
5.20000000e+01, 3.76577423e+02
5.30000000e+01, 3.89562469e+02
5.40000000e+01, 4.02550781e+02
5.50000000e+01, 4.15530029e+02
5.60000000e+01, 4.27713470e+02
5.70000000e+01, 4.39676331e+02
5.80000000e+01, 4.51402527e+02
5.90000000e+01, 4.63138733e+02
6.00000000e+01, 4.74870972e+02
6.10000000e+01, 4.86518982e+02
6.20000000e+01, 4.97330383e+02
6.30000000e+01, 5.08119781e+02
6.40000000e+01, 5.18901978e+02
6.50000000e+01, 5.29678650e+02
6.60000000e+01, 5.40225464e+02
6.70000000e+01, 5.50403564e+02
6.80000000e+01, 5.60248657e+02
6.90000000e+01, 5.70087646e+02
7.00000000e+01, 5.79920837e+02
7.10000000e+01, 5.89540894e+02
7.20000000e+01, 5.98827576e+02
7.30000000e+01, 6.08110046e+02
7.40000000e+01, 6.17310608e+02
7.50000000e+01, 6.26115967e+02
7.60000000e+01, 6.34915527e+02
7.70000000e+01, 6.43710632e+02
7.80000000e+01, 6.52085876e+02
7.90000000e+01, 6.60450073e+02
8.00000000e+01, 6.68804749e+02
8.10000000e+01, 6.76833618e+02
8.20000000e+01, 6.84777832e+02
8.30000000e+01, 6.92717712e+02
8.40000000e+01, 7.00421997e+02
8.50000000e+01, 7.07976990e+02
8.60000000e+01, 7.15528442e+02
